date,sub_region_2,workplaces_percent_change_from_baseline
2021-04-29,District Council of Loxton Waikerie,1.0
2021-04-29,District Council of Mallala,7.0
2021-04-29,District Council of Mount Barker,11.0
2021-04-29,District Council of the Copper Coast,8.0
2021-04-29,Light Regional Council,8.0
2021-04-29,Port Augusta City Council,8.0
2021-04-29,Port Pirie Regional Council,11.0
2021-04-29,Renmark Paringa Council,2.0
2021-04-29,The Barossa Council,10.0
2021-04-29,The Berri Barmera Council,2.0
2021-04-29,The City of Norwood Payneham and St Peters,-1.0
2021-04-29,The Corporation of the City of Whyalla,3.0
2021-04-29,The Rural City of Murray Bridge,10.0
2021-04-29,Town of Gawler,3.0
2021-04-29,,11.0
2021-04-29,Break O'Day Council,
2021-04-29,Brighton Council,16.0
2021-04-29,Burnie City Council,11.0
2021-04-29,Central Coast Council,9.0
2021-04-29,Clarence City Council,14.0
2021-04-29,Derwent Valley Council,13.0
2021-04-29,Devonport City Council,10.0
2021-04-29,Glamorgan-Spring Bay Council,
2021-04-29,Glenorchy City Council,6.0
2021-04-29,Hobart City Council,9.0
2021-04-29,Huon Valley Council,9.0
2021-04-29,Kingborough Council,13.0
2021-04-29,Latrobe Council,10.0
2021-04-29,Launceston City Council,15.0
2021-04-29,Meander Valley Council,13.0
2021-04-29,Northern Midlands Council,4.0
2021-04-29,Sorell Council,3.0
2021-04-29,Waratah-Wynyard Council,20.0
2021-04-29,West Tamar Council,9.0
2021-04-29,,-13.0
2021-04-29,Alpine Shire,7.0
2021-04-29,Ballarat City,3.0
2021-04-29,Banyule City,-20.0
2021-04-29,Bass Coast Shire,1.0
2021-04-29,Baw Baw Shire,6.0
2021-04-29,Bayside City,-23.0
2021-04-29,Benalla Rural City,11.0
2021-04-29,Boroondara City,-27.0
2021-04-29,Brimbank City,-20.0
2021-04-29,Campaspe Shire,-3.0
2021-04-29,Cardinia Shire,1.0
2021-04-29,Central Goldfields Shire,8.0
2021-04-29,City of Casey,-4.0
2021-04-29,City of Hume,-8.0
2021-04-29,City of Knox,-23.0
2021-04-29,City of Maribyrnong,-25.0
2021-04-29,City of Wyndham,-15.0
2021-04-29,City of Yarra,-37.0
2021-04-29,Colac Otway Shire,-2.0
2021-04-29,Corangamite Shire,6.0
2021-04-29,Darebin City,-20.0
2021-04-29,East Gippsland Shire,11.0
2021-04-29,Frankston City,-8.0
2021-04-29,Glen Eira City,-22.0
2021-04-29,Glenelg Shire,4.0
2021-04-29,Golden Plains Shire,-1.0
2021-04-29,Greater Bendigo City,-1.0
2021-04-29,Greater Dandenong City,-17.0
2021-04-29,Greater Geelong City,-9.0
