country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Tasmania,Clarence City Council,,,,ChIJpd4SAJ7gbaoRbLlUZPBr-g8,2021-04-29,-4.0,33.0,-24.0,-15.0,14.0,2.0
AU,Australia,Tasmania,Derwent Valley Council,,,,ChIJbfOgZzpRbqoRkp4QmoeiBIA,2021-04-29,,,,,13.0,
AU,Australia,Tasmania,Devonport City Council,,,,ChIJ4TlfVsE0eqoRZhjmaL5wQds,2021-04-29,-12.0,-7.0,,,10.0,2.0
AU,Australia,Tasmania,Glamorgan-Spring Bay Council,,,,ChIJpQr8wjOPcaoROsiOUQSEAes,2021-04-29,,,-44.0,,,
AU,Australia,Tasmania,Glenorchy City Council,,,,ChIJj8jdQxFzbqoRFwMfzlN5sPw,2021-04-29,-5.0,9.0,,,6.0,2.0
AU,Australia,Tasmania,Hobart City Council,,,,ChIJ_zyPItp1bqoR-oiprXQnjWg,2021-04-29,-10.0,-6.0,-6.0,-19.0,9.0,2.0
AU,Australia,Tasmania,Huon Valley Council,,,,ChIJtwiDk7ylbqoRevOXpJAty94,2021-04-29,,,,,9.0,
AU,Australia,Tasmania,Kingborough Council,,,,ChIJ7yGKrH4xbKoR0bIxtydLuF4,2021-04-29,-3.0,,23.0,-21.0,13.0,3.0
AU,Australia,Tasmania,Latrobe Council,,,,ChIJKTrBFmU6eqoRpdS67meN1Qs,2021-04-29,,,,,10.0,
AU,Australia,Tasmania,Launceston City Council,,,,ChIJQ2TGTKCrcKoRaWqH9KK0cfQ,2021-04-29,-6.0,-5.0,-12.0,,15.0,2.0
AU,Australia,Tasmania,Meander Valley Council,,,,ChIJTeRZcvSHeqoRcKwtgeWbcm8,2021-04-29,-1.0,,,,13.0,
AU,Australia,Tasmania,Northern Midlands Council,,,,ChIJ2cHJ5JT-cKoR9P6SKIVK4hk,2021-04-29,,,,-26.0,4.0,
AU,Australia,Tasmania,Sorell Council,,,,ChIJjUB9fsr6baoR_Wx-g7HOFUI,2021-04-29,,,,,3.0,
AU,Australia,Tasmania,Waratah-Wynyard Council,,,,ChIJPV19fkF2e6oRcoaCBDxvdl8,2021-04-29,,,,,20.0,
AU,Australia,Tasmania,West Tamar Council,,,,ChIJyTT4HIEZeqoR-W_OXNmYRiE,2021-04-29,,,,,9.0,
AU,Australia,Victoria,Alpine Shire,,,,ChIJC8XIj5EoJGsRU810o5_W3Fg,2021-04-29,,,,,7.0,
AU,Australia,Victoria,Ballarat City,,,,ChIJ_0n_WU5C0WoRQhNeXyaV8hU,2021-04-29,-5.0,6.0,19.0,-34.0,3.0,2.0
AU,Australia,Victoria,Banyule City,,,,ChIJN3uhtzFG1moRcm0iQna9l0E,2021-04-29,-10.0,-9.0,34.0,-24.0,-20.0,6.0
AU,Australia,Victoria,Bass Coast Shire,,,,ChIJs0ssm0z21WoRZybgTNSb9ls,2021-04-29,-30.0,-20.0,-58.0,,1.0,3.0
AU,Australia,Victoria,Baw Baw Shire,,,,ChIJdZiaxKSrKWsRbK06ED6pBmw,2021-04-29,11.0,-6.0,,,6.0,1.0
AU,Australia,Victoria,Bayside City,,,,ChIJy_H1FcNu1moROrd8SGaB1I4,2021-04-29,2.0,-10.0,-14.0,-53.0,-23.0,7.0
AU,Australia,Victoria,Benalla Rural City,,,,ChIJkR5jK_kFJ2sRQ7ZTfzaQHZo,2021-04-29,,,,,11.0,
AU,Australia,Victoria,Boroondara City,,,,ChIJo0uOpoFB1moR_Jg9IVgcPfo,2021-04-29,-17.0,-16.0,16.0,-31.0,-27.0,8.0
AU,Australia,Victoria,Brimbank City,,,,ChIJUXXCOAhf1moRI9x3_C8aCw4,2021-04-29,-9.0,6.0,20.0,-31.0,-20.0,4.0
AU,Australia,Victoria,Campaspe Shire,,,,ChIJfxT1dhCs2WoRxG39PNx0Zxg,2021-04-29,-2.0,-5.0,-23.0,,-3.0,1.0
AU,Australia,Victoria,Cardinia Shire,,,,ChIJ73I5EUThKWsRm2i9jETj_Rg,2021-04-29,-6.0,5.0,-13.0,5.0,1.0,2.0
AU,Australia,Victoria,Central Goldfields Shire,,,,ChIJS17WjWDd0GoR1HUdUIllfaI,2021-04-29,,,,,8.0,
AU,Australia,Victoria,City of Casey,,,,ChIJKYI2f6Ua1moRlVT3DWNjfrI,2021-04-29,-6.0,11.0,12.0,4.0,-4.0,3.0
AU,Australia,Victoria,City of Hume,,,,ChIJuTjvsclX1moRT9nh4K7b5fI,2021-04-29,-5.0,14.0,8.0,-52.0,-8.0,3.0
AU,Australia,Victoria,City of Knox,,,,ChIJ0Xsulqo91moROd3brQW_j00,2021-04-29,-21.0,3.0,7.0,-10.0,-23.0,5.0
AU,Australia,Victoria,City of Maribyrnong,,,,ChIJX-EVb-Nd1moR1fgATftmfC0,2021-04-29,-20.0,-11.0,23.0,-38.0,-25.0,9.0
AU,Australia,Victoria,City of Wyndham,,,,ChIJm4jB3BaF1moRItR1TFPrXzc,2021-04-29,-6.0,22.0,17.0,-39.0,-15.0,7.0
AU,Australia,Victoria,City of Yarra,,,,ChIJtc7U9gBD1moRf2HGrPdUtvE,2021-04-29,-17.0,-8.0,-18.0,-40.0,-37.0,10.0
AU,Australia,Victoria,Colac Otway Shire,,,,ChIJ3XieguUQ02oRirc0WeapOr0,2021-04-29,-31.0,,-50.0,,-2.0,
AU,Australia,Victoria,Corangamite Shire,,,,ChIJ1S4caGb60moRCKaNAI3i35w,2021-04-29,,,-72.0,,6.0,
AU,Australia,Victoria,Darebin City,,,,ChIJMbljvrRF1moRa1G6KbyRnl0,2021-04-29,-13.0,-8.0,11.0,-31.0,-20.0,8.0
AU,Australia,Victoria,East Gippsland Shire,,,,ChIJw1MxsqAlO2sRIbk-PJ47vfQ,2021-04-29,-14.0,9.0,-5.0,,11.0,1.0
AU,Australia,Victoria,Frankston City,,,,ChIJ7Y3nYmUL1moRxRA-mOZjVf4,2021-04-29,-11.0,8.0,24.0,-11.0,-8.0,3.0
AU,Australia,Victoria,Glen Eira City,,,,ChIJX2LvgXlp1moRvYSVmeRZ13c,2021-04-29,-7.0,-6.0,4.0,-52.0,-22.0,8.0
AU,Australia,Victoria,Glenelg Shire,,,,ChIJ99BLcUWvzGoRc56q4yq63sk,2021-04-29,-9.0,,-44.0,,4.0,
AU,Australia,Victoria,Golden Plains Shire,,,,ChIJexYS4lbk02oR860sKae_qD4,2021-04-29,,,,,-1.0,
AU,Australia,Victoria,Greater Bendigo City,,,,ChIJIc5Hq9Df2WoRd6oSWAN4CN0,2021-04-29,1.0,-8.0,-5.0,10.0,-1.0,2.0
AU,Australia,Victoria,Greater Dandenong City,,,,ChIJZd7Yb5gT1moR2drS5W10leE,2021-04-29,-11.0,-12.0,-16.0,-25.0,-17.0,4.0
AU,Australia,Victoria,Greater Geelong City,,,,ChIJtRCT1EAi1GoRZT1X3HI-ioo,2021-04-29,-17.0,-4.0,-20.0,-27.0,-9.0,3.0
AU,Australia,Victoria,Greater Shepparton City,,,,ChIJF_mwlyWB2GoRMLprYYliSHU,2021-04-29,-6.0,5.0,-13.0,,5.0,0.0
AU,Australia,Victoria,Hepburn Shire,,,,ChIJTTF5AlEs0WoRB5WEh9Zd9j0,2021-04-29,,,,,4.0,
AU,Australia,Victoria,Hobsons Bay City,,,,ChIJrQet5Xth1moRoNNpoMfBvFM,2021-04-29,-9.0,-2.0,-29.0,-34.0,-20.0,6.0
AU,Australia,Victoria,Horsham Rural City,,,,ChIJxweEHk9nzmoR7gQrMhl86sI,2021-04-29,,1.0,,,10.0,
AU,Australia,Victoria,Indigo Shire,,,,ChIJ3e2WHkhMIWsRdgbRs-b4Is4,2021-04-29,,,,,8.0,
AU,Australia,Victoria,Kingston City,,,,ChIJYz5M9gpt1moRHZYOiucQoJA,2021-04-29,-15.0,15.0,-16.0,-16.0,-15.0,5.0
AU,Australia,Victoria,Latrobe City,,,,ChIJOTw1Lv0TKWsRuc78O2JcVNI,2021-04-29,-9.0,-10.0,,-10.0,0.0,1.0
AU,Australia,Victoria,Macedon Ranges Shire,,,,ChIJ49kasq4E12oRr8wScMrDxnM,2021-04-29,16.0,-14.0,,-28.0,-7.0,3.0
AU,Australia,Victoria,Manningham City,,,,ChIJV-JW3Co41moR0YyKZY1OOv0,2021-04-29,-12.0,3.0,27.0,-22.0,-13.0,6.0
AU,Australia,Victoria,Maroondah City,,,,ChIJt73vIV461moR4mGb3EELBvo,2021-04-29,-15.0,4.0,-14.0,-25.0,-17.0,5.0
AU,Australia,Victoria,Melbourne City,,,,ChIJv_FYgkNd1moRpxLuRXZURFs,2021-04-29,-37.0,-29.0,-45.0,-46.0,-28.0,11.0
AU,Australia,Victoria,Melton City,,,,ChIJAy6X3ojy1moREPMohCgh1GM,2021-04-29,-3.0,14.0,38.0,-31.0,0.0,3.0
AU,Australia,Victoria,Mildura Rural City,,,,ChIJ02bLJx5mxGoRuLg-2pmx7gI,2021-04-29,-10.0,-1.0,,-16.0,-2.0,0.0
AU,Australia,Victoria,Mitchell Shire,,,,ChIJAdau00aX12oR_JGelguImyg,2021-04-29,-7.0,-1.0,,-25.0,-1.0,1.0
AU,Australia,Victoria,Moira Shire,,,,ChIJ2S8Spn9XJ2sRxHDATC2vxWI,2021-04-29,,-13.0,,,-4.0,3.0
AU,Australia,Victoria,Monash City,,,,ChIJAW1BE1cV1moRwkykqCIpKcg,2021-04-29,-9.0,10.0,34.0,-33.0,-21.0,6.0
AU,Australia,Victoria,Moonee Valley City,,,,ChIJNRWDGxVc1moR5Ez5kWZTlz4,2021-04-29,-2.0,7.0,15.0,-33.0,-22.0,7.0
AU,Australia,Victoria,Moorabool Shire,,,,ChIJ9S2SoyG31moRP6gfF7QOV7w,2021-04-29,2.0,,,-33.0,-3.0,2.0
AU,Australia,Victoria,Moreland City,,,,ChIJR09Ut2lb1moRB2WJOHvYMRg,2021-04-29,-11.0,-3.0,11.0,-40.0,-23.0,8.0
AU,Australia,Victoria,Mount Alexander Shire,,,,ChIJQVB8h3Yx12oRs8vRF5Qmc40,2021-04-29,,,,,0.0,
AU,Australia,Victoria,Moyne Shire,,,,ChIJVQZLefFDzWoRpkkbnz-QEm4,2021-04-29,,,-55.0,,2.0,
AU,Australia,Victoria,Murrindindi Shire,,,,ChIJkWqsiYEPKGsRO0gFge56rr8,2021-04-29,,,,,0.0,
AU,Australia,Victoria,Nillumbik Shire,,,,ChIJj9onUVLL12oRpVjfuPW0xeo,2021-04-29,-13.0,,,-20.0,-11.0,5.0
AU,Australia,Victoria,Northern Grampians Shire,,,,ChIJYxQW4HXS0WoRPk05iUErDq4,2021-04-29,,,-30.0,,4.0,
AU,Australia,Victoria,Port Phillip City,,,,ChIJO9nyAXho1moRqdfqYTtnGyA,2021-04-29,-35.0,-22.0,-54.0,-52.0,-36.0,9.0
AU,Australia,Victoria,Shire of Mornington Peninsula,,,,ChIJcVC2pWDP1WoRgrwLtSh9Ly8,2021-04-29,-20.0,-13.0,-45.0,-20.0,-2.0,2.0
AU,Australia,Victoria,South Gippsland Shire,,,,ChIJQYgEgeEwKmsR5L4kHDobxSw,2021-04-29,-11.0,,-53.0,,4.0,
AU,Australia,Victoria,Southern Grampians Shire,,,,ChIJSaxAtE2tzWoR18H9WKzIUh8,2021-04-29,,,,,10.0,
AU,Australia,Victoria,Stonnington City,,,,ChIJcbovqORp1moR9Z15BNtVA5A,2021-04-29,-20.0,13.0,-29.0,-45.0,-33.0,10.0
AU,Australia,Victoria,Surf Coast Shire,,,,ChIJIe6EesN41GoR-pO-nxsXn08,2021-04-29,-30.0,-36.0,-73.0,,-9.0,
AU,Australia,Victoria,Swan Hill Rural City,,,,ChIJs_TC4nti22oRfgG6MiHvfAU,2021-04-29,,,,,-8.0,
AU,Australia,Victoria,Wangaratta Rural City,,,,ChIJkzavw1LuJmsRFoTlSJBLCnQ,2021-04-29,-5.0,-10.0,,,8.0,1.0
AU,Australia,Victoria,Warrnambool City,,,,ChIJW88Th_JNzWoRbjlfkhG6P5g,2021-04-29,-22.0,-12.0,-48.0,,-1.0,2.0
AU,Australia,Victoria,Wellington Shire,,,,ChIJieN105g2L2sRoOZfsYf2t-o,2021-04-29,1.0,0.0,-6.0,,3.0,2.0
AU,Australia,Victoria,Whitehorse City,,,,ChIJJV1W0kg_1moRzSsKXThD7I4,2021-04-29,-19.0,4.0,2.0,-17.0,-17.0,7.0
AU,Australia,Victoria,Whittlesea City,,,,ChIJyZ4oiR2112oRXKMqMMUed6s,2021-04-29,-6.0,5.0,23.0,-22.0,-9.0,4.0
AU,Australia,Victoria,Wodonga City,,,,ChIJifxkuVpYIWsR1JpuHrgQ37M,2021-04-29,-6.0,7.0,,,3.0,1.0
AU,Australia,Victoria,Yarra Ranges Shire,,,,ChIJv6MfDZ8zKGsRfE7_hAo3eYw,2021-04-29,-14.0,10.0,-12.0,-32.0,-10.0,4.0
AU,Australia,Western Australia,City of Albany,,,,ChIJF6PdTh_vOCoRzhjshm_HSQ0,2021-04-29,-4.0,9.0,2.0,,14.0,2.0
AU,Australia,Western Australia,City of Armadale,,,,ChIJdVp3TOTtMioR8-fd_b1HA_E,2021-04-29,-3.0,-12.0,-21.0,-27.0,-10.0,6.0
AU,Australia,Western Australia,City of Bayswater,,,,ChIJad6A3nq6MioR5LzEFzDUXWQ,2021-04-29,-9.0,-1.0,-29.0,-12.0,-15.0,11.0
AU,Australia,Western Australia,City of Belmont,,,,ChIJQy2rv967MioRoa8cEIJ-e3A,2021-04-29,8.0,10.0,-23.0,-32.0,-17.0,9.0
AU,Australia,Western Australia,City of Bunbury,,,,ChIJ_chQQocdLioRKL3XpmFfGNQ,2021-04-29,1.0,9.0,-59.0,-52.0,8.0,3.0
AU,Australia,Western Australia,City of Busselton,,,,ChIJ6_DBWRw5LioREsF3FRs7KgU,2021-04-29,-20.0,-21.0,-67.0,,2.0,4.0
AU,Australia,Western Australia,City of Canning,,,,ChIJy4ACm5W9MioRNRBQUs4n6to,2021-04-29,-10.0,10.0,-20.0,-32.0,-9.0,10.0
AU,Australia,Western Australia,City of Cockburn,,,,ChIJ6TvpNVtfLSoRWvt9x27DPRU,2021-04-29,-8.0,-5.0,-44.0,-6.0,-14.0,9.0
AU,Australia,Western Australia,City of Fremantle,,,,ChIJuaGJtNCjMioRTCZQQJtYvuc,2021-04-29,-15.0,-20.0,-57.0,-48.0,-19.0,11.0
AU,Australia,Western Australia,City of Gosnells,,,,ChIJe_mN2HOVMioRJowVj-HNcp4,2021-04-29,14.0,13.0,-14.0,-26.0,-6.0,8.0
AU,Australia,Western Australia,City of Greater Geraldton,,,,ChIJmTl-aATZ2isRyaH7f3c-NU4,2021-04-29,6.0,9.0,,-21.0,14.0,1.0
AU,Australia,Western Australia,City of Joondalup,,,,ChIJqQG2UxWrMioRZ_D0u8qKg6M,2021-04-29,-13.0,5.0,-42.0,-31.0,-20.0,9.0
AU,Australia,Western Australia,City of Kalamunda,,,,ChIJu9QZAvXBMioRatt5vQkTP1c,2021-04-29,4.0,16.0,3.0,-51.0,-7.0,8.0
AU,Australia,Western Australia,City of Kalgoorlie-Boulder,,,,ChIJWbpshdzL-CoRKrRLHFEGxt8,2021-04-29,9.0,18.0,,-5.0,10.0,0.0
AU,Australia,Western Australia,City of Karratha,,,,ChIJDxFsW91d9isRW9xXo2kheM8,2021-04-29,5.0,,-14.0,-26.0,0.0,3.0
AU,Australia,Western Australia,City of Kwinana,,,,ChIJSe9MNuuaMioRJLOoPReRjO8,2021-04-29,7.0,43.0,,-18.0,-9.0,7.0
AU,Australia,Western Australia,City of Mandurah,,,,ChIJB5zFkYh3MioRstKplvOyla0,2021-04-29,2.0,10.0,-31.0,-33.0,-4.0,5.0
AU,Australia,Western Australia,City of Melville,,,,ChIJSdDUKyGjMioR6_oxNP9V-Vw,2021-04-29,-11.0,4.0,-32.0,-42.0,-14.0,12.0
AU,Australia,Western Australia,City of Nedlands,,,,ChIJi1fzpkukMioROGljSrZO64s,2021-04-29,-16.0,,-26.0,,-20.0,
AU,Australia,Western Australia,City of Perth,,,,ChIJC4Rr0Cq7MioRAFPLcwKhtHI,2021-04-29,-54.0,-30.0,-58.0,-47.0,-30.0,16.0
AU,Australia,Western Australia,City of Rockingham,,,,ChIJdUDB8T-DMioRCtIKmCaw_QU,2021-04-29,-6.0,12.0,12.0,-38.0,-8.0,5.0
AU,Australia,Western Australia,City of South Perth,,,,ChIJwccFDqG8MioR1nBxsf5z_JA,2021-04-29,-21.0,,-32.0,-32.0,-25.0,14.0
AU,Australia,Western Australia,City of Stirling,,,,ChIJVbgKG7qvMioRGzG8gF9KdLU,2021-04-29,-5.0,13.0,-37.0,-41.0,-23.0,11.0
AU,Australia,Western Australia,City of Subiaco,,,,ChIJMxX7LeKkMioR1oFvuzYF1o4,2021-04-29,-16.0,,,-32.0,-31.0,
AU,Australia,Western Australia,City of Swan,,,,ChIJrfq0By3KMioROnrYkNu1938,2021-04-29,0.0,44.0,-33.0,-42.0,-2.0,6.0
AU,Australia,Western Australia,City of Vincent,,,,ChIJA_FWkrS6MioR_xSwzQ_7ph4,2021-04-29,-24.0,13.0,-25.0,-37.0,-34.0,17.0
AU,Australia,Western Australia,City of Wanneroo,,,,ChIJN2bgHU1WzSsRUP70rWbGwWY,2021-04-29,10.0,19.0,-34.0,-33.0,-7.0,7.0
AU,Australia,Western Australia,Shire of Ashburton,,,,ChIJ10Lo6WRq8SsR0UJQRU2fTrY,2021-04-29,,,21.0,,13.0,
AU,Australia,Western Australia,Shire of Augusta-Margaret River,,,,ChIJs_AkWlXHLyoRqNZ4UHXgZ8A,2021-04-29,,,-64.0,,13.0,
AU,Australia,Western Australia,Shire of Broome,,,,ChIJ1e3HcKMjcCwRWAfrBssc2Jk,2021-04-29,,,,,31.0,
AU,Australia,Western Australia,Shire of Capel,,,,ChIJJfjNtrwhLioRbRd1D6GPRBg,2021-04-29,,,,,15.0,
AU,Australia,Western Australia,Shire of Dardanup,,,,ChIJ0e33IRjoMSoRsS3CVGP7SJQ,2021-04-29,-8.0,,,,6.0,
AU,Australia,Western Australia,Shire of East Pilbara,,,,ChIJ0aXG3AMmgysRHiNJrGSk85A,2021-04-29,,,5.0,19.0,2.0,
AU,Australia,Western Australia,Shire of Esperance,,,,ChIJuWcAhlEbWyoRnMNqYEEB7Zg,2021-04-29,-7.0,,,,13.0,
AU,Australia,Western Australia,Shire of Harvey,,,,ChIJPzpWt7r2MSoRIfMJ7sjuvC4,2021-04-29,6.0,,,,18.0,2.0
AU,Australia,Western Australia,Shire of Mundaring,,,,ChIJ31ofs9vEMioR0y3OP6Lox-8,2021-04-29,15.0,,,,-3.0,7.0
AU,Australia,Western Australia,Shire of Murray,,,,ChIJfTab9TBpMioR8RUfHktIkOQ,2021-04-29,,,,,1.0,
AU,Australia,Western Australia,Shire of Northam,,,,ChIJT-BtflQwMyoRQqTf2RaKem0,2021-04-29,,,,,5.0,
AU,Australia,Western Australia,Shire of Serpentine-Jarrahdale,,,,ChIJ78rbU8z0MioR466isx81nfk,2021-04-29,,,,,-5.0,5.0
AU,Australia,Western Australia,Town of Bassendean,,,,ChIJR1X_OB26MioRI8T1sbkuDXk,2021-04-29,,,,-29.0,-23.0,
AU,Australia,Western Australia,Town of Cambridge,,,,ChIJywG3noSlMioRCz8TieOMH0Q,2021-04-29,-7.0,,-35.0,-51.0,-27.0,
AU,Australia,Western Australia,Town of Claremont,,,,ChIJzy2ctjekMioRCcmcWIaa8IQ,2021-04-29,-11.0,,,,-20.0,
AU,Australia,Western Australia,Town of Cottesloe,,,,ChIJxf2tdx-kMioRJOZpQ6GJ2hQ,2021-04-29,,,-57.0,,,
AU,Australia,Western Australia,Town of Port Hedland,,,,ChIJk9DO_Yoq9SsRX_KCepEBXlA,2021-04-29,,,,-20.0,6.0,
AU,Australia,Western Australia,Town of Victoria Park,,,,ChIJq7eDUJu7MioR86Tu9g2p2pQ,2021-04-29,-11.0,15.0,-12.0,-34.0,-29.0,15.0
