country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,New South Wales,Gunnedah Shire Council,,,,ChIJB3I0dWERCmsR_mSy89QA4nw,2021-04-29,,,,,1.0,
AU,Australia,New South Wales,Hawkesbury City Council,,,,ChIJFwozjJBtDWsRpmJo5NK4W6Y,2021-04-29,2.0,-5.0,,-18.0,-3.0,2.0
AU,Australia,New South Wales,Hurstville City Council,,,,ChIJv44EThe5EmsR_opVefoa5ZM,2021-04-29,-22.0,15.0,50.0,-9.0,-15.0,6.0
AU,Australia,New South Wales,Inner West Council,,,,ChIJoSBOB6S6EmsRDuaE9xZBqlg,2021-04-29,-5.0,-8.0,14.0,-25.0,-27.0,7.0
AU,Australia,New South Wales,Inverell Shire Council,,,,ChIJ7RGrT2FromsRsYW-NyBfpjQ,2021-04-29,,,,,32.0,
AU,Australia,New South Wales,Kempsey Shire Council,,,,ChIJC_lFZoF6nmsRB9kFRSpUP8Y,2021-04-29,-3.0,,-16.0,,6.0,
AU,Australia,New South Wales,Kogarah City Council,,,,ChIJjWcQmq25EmsRbnzh9Na8PUE,2021-04-29,,,,-22.0,-13.0,5.0
AU,Australia,New South Wales,Ku-ring-gai Council,,,,ChIJ-fZBTgyoEmsRZNmsuUsvEjc,2021-04-29,1.0,16.0,31.0,-6.0,-8.0,7.0
AU,Australia,New South Wales,Lane Cove Municipal Council,,,,ChIJxZCATRGvEmsRQ3FzykMOskQ,2021-04-29,4.0,14.0,,-23.0,-21.0,7.0
AU,Australia,New South Wales,Leeton Shire Council,,,,ChIJNY2s6qILH2sRuMS88loiTGc,2021-04-29,,,,,6.0,
AU,Australia,New South Wales,Lismore City Council,,,,ChIJPeYNfDeekGsRV-QdCC4pfHg,2021-04-29,-1.0,23.0,-10.0,,11.0,0.0
AU,Australia,New South Wales,Lithgow City Council,,,,ChIJ51L5V-ryDWsRJmDLb5f8Dmw,2021-04-29,4.0,,,,6.0,
AU,Australia,New South Wales,Maitland City Council,,,,ChIJ55sgqlBEc2sRIjh_XxWcc-E,2021-04-29,5.0,19.0,8.0,-35.0,1.0,1.0
AU,Australia,New South Wales,Mid-Western Regional Council,,,,ChIJTw5-leiDDmsRS5UTuzB_CgU,2021-04-29,0.0,,,,5.0,
AU,Australia,New South Wales,MidCoast Council,,,,ChIJ7wo8rzf4dGsRd1ziFliIhMo,2021-04-29,-2.0,-6.0,-33.0,-14.0,13.0,1.0
AU,Australia,New South Wales,Mosman Municipal Council,,,,ChIJNe9GzhGsEmsRpsRKvYIKxnw,2021-04-29,-8.0,,-37.0,-26.0,-13.0,
AU,Australia,New South Wales,Muswellbrook Shire Council,,,,ChIJB27NoeCODGsR-e9kHSLlS2A,2021-04-29,,,,,6.0,
AU,Australia,New South Wales,Nambucca Shire Council,,,,ChIJ7zaP7CGHnmsRyjkFPNdoWhI,2021-04-29,,,-34.0,,17.0,
AU,Australia,New South Wales,Newcastle City Council,,,,ChIJ0Ws-s0QVc2sRF66DUFcNoqw,2021-04-29,-9.0,7.0,-5.0,-23.0,-3.0,2.0
AU,Australia,New South Wales,North Sydney Council,,,,ChIJs7S7tOyuEmsRpUU5oJ3BdDM,2021-04-29,-14.0,-15.0,-35.0,-37.0,-28.0,8.0
AU,Australia,New South Wales,Northern Beaches Council,,,,ChIJqxuhvfBVDWsRPbiLFRe1EqA,2021-04-29,-9.0,8.0,-28.0,-34.0,-13.0,5.0
AU,Australia,New South Wales,Orange City Council,,,,ChIJ0fTFOKPSEWsRfnBRaAcZIFw,2021-04-29,4.0,2.0,,,5.0,0.0
AU,Australia,New South Wales,Palerang Council,,,,ChIJ56h39zNwFmsRRxXs5iZ4IrY,2021-04-29,,,,,-3.0,
AU,Australia,New South Wales,Parkes Shire Council,,,,ChIJ4ci0TWFKBWsRLBnNscHOzuU,2021-04-29,,,,,1.0,
