Week ending,Go Card Trips,Adjustments,"go card Adjustments per 10,000 go card trips",fixed fares as a percentage of all go card trips
17/05/2015,3248113.63,3839,11.81916779,1.83%
24/05/2015,3276207.68,3491,10.65561266,1.68%
31/05/2015,3249627.08,3567,10.97664414,1.67%
7/06/2015,3165623.73,3472,10.96782278,1.68%
14/06/2015,2622352.92,2897,11.04733075,1.74%
21/06/2015,3020452.04,3306,10.94538155,1.71%
28/06/2015,2837020.2,5021,17.69814682,1.79%
5/07/2015,2537740.47,3761,14.82027044,1.88%
12/07/2015,2573417.64,3648,14.17570138,1.85%
19/07/2015,2898649.22,3523,12.15393701,1.88%
26/07/2015,3105887.06,3869,12.45698868,1.79%
2/08/2015,3331118.43,3646,10.94527282,1.83%
9/08/2015,3368587.2,4599,13.65260785,1.85%
16/08/2015,2985268.9,3441,11.52659982,1.88%
23/08/2015,3271818.13,4338,13.25868317,1.64%
30/08/2015,3228253.15,4676,14.48461375,1.66%
6/09/2015,3221599,4740,14.71319056,1.68%
13/09/2015,3220979,4436,13.77221025,1.72%
20/09/2015,3179289,4529,14.2453234,1.68%
27/09/2015,2964544,4456,15.03097947,1.74%
4/10/2015,2721169,4204,15.44924259,1.83%
11/10/2015,2836975,4096,14.43791362,1.78%
18/10/2015,3252319,4633,14.2452201,1.55%
25/10/2015,3179249,4793,15.07588742,1.71%
1/11/2015,3179723,4525,14.2308,1.68%
8/11/2015,3023787,4644,15.35822464,1.79%
15/11/2015,3094041,4560,14.73800767,1.72%
22/11/2015,3096355,4660,15.0499539,1.83%
29/11/2015,3018507,4266,14.13281467,1.86%
6/12/2015,2847896,4209,14.77933183,1.83%
13/12/2015,2725263,4115,15.09946013,1.82%
20/12/2015,2707867,4083,15.07828856,1.77%
27/12/2015,1819352,3020,16.59931668,1.94%
3/01/2016,1298428,2481,19.10772103,2.38%
10/01/2016,2180540,3698,16.95910187,1.86%
17/01/2016,2476221,4087,16.50498885,1.86%
24/01/2016,2556490,4051,15.84594503,1.76%
31/01/2016,2332111,3693,15.83543836,1.94%
7/02/2016,2990829,4592,15.35360263,1.90%
14/02/2016,3084274,4482,14.53178284,1.87%
21/02/2016,3075846,5159,16.77262126,1.92%
28/02/2016,3210336,4960,15.45009619,1.84%
6/03/2016,3477167,4638,13.33844477,1.78%
13/03/2016,3538032,4661,13.17399051,1.75%
20/03/2016,3542951,4631,13.07102469,1.69%
27/03/2016,2915631,4001,13.72258698,1.79%
3/04/2016,2361111,3685,15.60705956,1.87%
10/04/2016,3102746,4176,13.45904563,1.77%
17/04/2016,3382480,3848,11.3762683,1.75%
24/04/2016,3407483,3816,11.19888199,1.71%
1/05/2016,2901778,3384,11.66181562,1.78%
8/05/2016,2923091,3412,11.67257537,1.86%
15/05/2016,3331769,4253,12.76499061,1.74%
22/05/2016,3336603,4008,12.01221722,1.72%
29/05/2016,3256183,3918,12.03249326,1.68%
5/06/2016,3070485,4453,14.50259487,1.70%
12/06/2016,3027895,3506,11.57900125,1.73%
19/06/2016,2992102,3874,12.94741957,1.70%
26/06/2016,2941476,4121,14.00997322,1.72%
3/07/2016,2611362,3591,13.75144465,1.75%
10/07/2016,2580610,3632,14.07419176,1.76%
17/07/2016,2950584,3525,11.94678748,1.72%
24/07/2016,3117782,3589,11.51138854,1.76%
31/07/2016,3343137,4264,12.75448778,1.78%
7/08/2016,3412729,4253,12.46216737,1.67%
14/08/2016,3026546,3606,11.91457192,1.80%
21/08/2016,3329213,3795,11.39909042,1.63%
28/08/2016,3264649,3658,11.20487991,1.59%
4/09/2016,3221669,4137,12.84117021,1.59%
11/09/2016,3222241,3614,11.21579671,1.58%
18/09/2016,3185772,3356,10.5343383,1.58%
25/09/2016,2857675,8944,31.29817072,1.70%
2/10/2016,2705930,5948,21.98135207,1.69%
9/10/2016,2846267,3361,11.80844945,1.72%
16/10/2016,3258180,3677,11.28544157,1.61%
23/10/2016,3181738,3531,11.09770823,1.66%
30/10/2016,3207884,3815,11.89257467,1.65%
6/11/2016,2996328,4059,13.54658102,1.76%
13/11/2016,3086955,3959,12.8249359,1.68%
20/11/2016,3093114,3838,12.40820739,1.72%
27/11/2016,2973979,3828,12.87164435,1.79%
4/12/2016,2821014,3592,12.73301019,1.81%
11/12/2016,2723653,18995,69.74089577,1.94%
18/12/2016,2657439,37272,140.2553361,1.94%
25/12/2016,2274962,4758,20.91463506,1.89%
1/01/2017,1336693,2764,20.67789687,2.51%
8/01/2017,1792237,17897,99.85844506,2.05%
15/01/2017,2382504,3672,15.41235608,1.93%
22/01/2017,2518379,10529,41.80863961,1.89%
29/01/2017,2431899,3776,15.52696062,2.18%
5/02/2017,2958712,4279,14.46237417,2.05%
12/02/2017,2993548,3949,13.19170429,1.95%
19/02/2017,3072935,4858,15.80899043,1.99%
26/02/2017,3248317,4047,12.45875941,1.84%
5/03/2017,3529156,4306,12.20121751,1.75%
12/03/2017,3545116,4153,11.71470835,1.74%
19/03/2017,3481556,4377,12.57196495,1.70%
26/03/2017,3219149,4456,13.8421676,1.72%
2/04/2017,2815561,3955,14.04693416,2.08%
9/04/2017,3077215,24939,81.04406094,1.76%
16/04/2017,2522636,6787,26.90439683,1.72%
23/04/2017,2699608,4392,16.26902869,1.74%
30/04/2017,2879468,3777,13.11700634,1.65%
7/05/2017,2901426,9103,31.37422771,1.62%
14/05/2017,3285256,4178,12.71742598,1.54%
21/05/2017,3245325,3840,11.83240507,1.62%
28/05/2017,3265134,4165,12.7559849,1.64%
4/06/2017,3182895,4109,12.90963101,1.69%
11/06/2017,3013748,5138,17.0485389,1.65%
18/06/2017,2993047,4562,15.24199252,1.64%
25/06/2017,2932388,4129,14.08067418,1.64%
2/07/2017,2685618,14374,53.52213159,1.79%
9/07/2017,2720903,17397,63.93833224,1.74%
16/07/2017,3108223,6693,21.53320402,1.74%
23/07/2017,3100660,6464,20.84717447,1.77%
30/07/2017,3152253,5955,18.89125016,1.94%
6/08/2017,3214537,5196,16.16406966,1.85%
13/08/2017,2930346,5812,19.83383532,2.27%
20/08/2017,2946436,5698,19.33861791,1.92%
27/08/2017,3148197,6224,19.77004616,1.83%
3/09/2017,2897181,5494,18.96326118,2.04%
10/09/2017,3263480,6382,19.55581159,1.68%
17/09/2017,3209590,5619,17.50690898,1.63%
24/09/2017,2928944,5350,18.2659689,1.61%
1/10/2017,2799152,4441,15.86552,1.78%
8/10/2017,2837684,4196,14.78671,1.75%
15/10/2017,3214588,3981,12.38417,1.64%
22/10/2017,3114808,3680,11.81453,1.64%
29/10/2017,3207439,3965,12.36189,1.66%
5/11/2017,3123196,4119,13.18841341,1.70%
12/11/2017,3122354,3934,12.59946822,1.69%
19/11/2017,3120013,4141,13.2723806,1.63%
26/11/2017,3108558,3975,12.7872795,1.74%
3/12/2017,2880826,4295,14.90891848,1.67%
10/12/2017,2837279,3858,13.59753482,1.71%
17/12/2017,2792180,4026,14.41884119,1.76%
24/12/2017,2583235,4082,15.80189181,1.80%
31/12/2017,1311940,2055,15.66382609,2.38%
7/01/2018,1829781,2886,15.77,2.03%
14/01/2018,2541473,7514,29.57,1.80%
21/01/2018,2695631,4267,15.83,1.77%
28/01/2018,2661767,3974,14.93,1.94%
4/02/2018,3056024,4435,14.51232,1.88%
11/02/2018,3175150,4420,13.9206,1.91%
18/02/2018,3265030,4838,14.81763,2.00%
25/02/2018,3447528,4787,13.88531,1.92%
4/03/2018,3683429,5165,14.02226024,1.82%
11/03/2018,3582960,4933,13.76794606,1.77%
18/03/2018,3664049,5342,14.57949935,1.80%
25/03/2018,3605484,6790,18.83242305,1.76%
1/04/2018,2985491,4352,14.5771667,1.83%
8/04/2018,2465761,2775,11.25413209,2.06%
15/04/2018,2783241,2431,8.734421489,2.02%
22/04/2018,3428444,3853,11.23833436,1.83%
29/04/2018,3084492,3693,11.97279811,1.80%
6/05/2018,3516639,4576,13.01242465,1.78%
13/05/2018,2994602,3981,13.29392019,1.79%
20/05/2018,3429679,4417,12.87875629,1.75%
27/05/2018,3384140,4628,13.67555716,1.69%
3/06/2018,3351762,4180,12.47105254,1.65%
10/06/2018,3163326,4385,13.86199209,1.67%
17/06/2018,3211362,4182,13.02251194,1.64%
24/06/2018,3140664,4802,15.28976038,1.69%
1/07/2018,2950103,3800,12.88090619,1.62%
8/07/2018,2769976,4351,15.70771732,1.76%
15/07/2018,2877902,4637,16.1124319,1.77%
22/07/2018,3305598,3958,11.97362777,1.82%
29/07/2018,3545144,4715,13.29988288,1.71%
5/08/2018,3580665,4322,12.07038357,1.64%
12/08/2018,3612896,4717,13.05600825,1.66%
19/08/2018,3160042,4483,14.18652031,1.80%
26/08/2018,3462678,4475,12.92352335,1.61%
2/09/2018,3467795,4471,12.89291899,1.61%
9/09/2018,3050574,4080,13.37453214,1.64%
16/09/2018,3449266,4288,12.43163038,1.59%
23/09/2018,3405391,4573,13.4287076,1.62%
30/09/2018,2918348,4601,15.76576885,1.73%
7/10/2018,2733082,3840,14.05007241,1.72%
14/10/2018,3325678,4430,13.32059207,1.66%
21/10/2018,3369146,4554,13.51677844,1.65%
28/10/2018,3357616,4374,13.02710018,1.69%
4/11/2018,3255393,4604,14.14268569,1.74%
11/11/2018,3355803,4910,14.63137139,1.71%
18/11/2018,3334505,4452,13.35130702,1.65%
25/11/2018,3265407,4554,13.94619415,1.78%
2/12/2018,3193115,5197,16.27564306,1.79%
9/12/2018,3061895,5102,16.66288361,1.84%
16/12/2018,2937806,4092,13.9287618,1.73%
23/12/2018,2757364,3826,13.87557102,1.84%
30/12/2018,1330175,2551,19.17792772,2.35%
6/01/2019,1736132,3406,19.61832395,2.24%
13/01/2019,2589227,4121,15.91594711,1.72%
20/01/2019,2737712,3933,14.36601074,1.72%
27/01/2019,2802337,4578,16.33636497,1.72%
3/02/2019,2696390,4124,15.29452342,1.90%
10/02/2019,3184871,4954,15.55479013,1.93%
17/02/2019,3272394,5073,15.502412,1.97%
24/02/2019,3467870,5484,15.81374158,1.93%
3/03/2019,3707555,5325,14.36256509,1.82%
10/03/2019,3790130,5472,14.43749951,1.81%
17/03/2019,3678144,6673,18.1423022,1.78%
24/03/2019,3739274,6749,18.04895817,1.86%
31/03/2019,3631017,7033,19.36922906,1.74%
7/04/2019,3590444,5408,15.06220401,1.62%
14/04/2019,3303623,5809,17.5837255,1.63%
21/04/2019,2692274,4385,16.28734668,1.68%
28/04/2019,2372202,3803,16.0315184,1.87%
5/05/2019,3563014,5086,14.2744317,1.74%
12/05/2019,3103198,4698,15.13922089,1.75%
19/05/2019,3552296,5295,14.90585244,1.68%
26/05/2019,3497764,5265,15.05247352,1.64%
2/06/2019,3383582,5078,15.00776396,1.64%
9/06/2019,3261287,5146,15.77904674,1.71%
16/06/2019,3244258,4849,14.94640685,1.70%
23/06/2019,3223676,4640,14.39350605,1.69%
30/06/2019,2975469,4643,15.60426272,1.69%
7/07/2019,2811606,4849,17.24637094,1.87%
14/07/2019,2970156,4683,15.76684861,1.86%
21/07/2019,3415129,5352,15.67144316,1.88%
28/07/2019,3613932,5288,14.63226203,1.82%
4/08/2019,3618181,5311,14.67865,1.75%
11/08/2019,3646115,5210,14.28918,1.81%
18/08/2019,3197443,5068,15.85017,1.92%
25/08/2019,3550629,5157,14.52419,1.75%
1/09/2019,3488967,5191,14.87832932,1.65%
8/09/2019,3502837,5194,14.82798086,1.64%
15/09/2019,3481870,5114,14.68750987,1.69%
22/09/2019,3471219,5138,14.80171663,1.73%
29/09/2019,3158424,4955,15.68820399,1.79%
6/10/2019,2982158,"5,042",16.90721954,1.81%
13/10/2019,3033519,"4,416",14.55735072,1.76%
20/10/2019,3470625,"5,240",15.09814515,1.73%
27/10/2019,3399714,"4,994",14.68947094,1.79%
3/11/2019,3284863,"5,320",16.19550039,1.74%
10/11/2019,3293210,"5,291",16.06639115,1.79%
17/11/2019,3351626,"5,231",15.60734998,1.87%
24/11/2019,3078932,"4,933",16.02178937,1.95%
1/12/2019,3085301,"4,286",13.8916754,1.85%
8/12/2019,2950085,"4,169",14.1317962,1.87%
15/12/2019,2841019,"3,912",13.76970728,1.96%
22/12/2019,2839280,"4,260",15.00380378,1.87%
29/12/2019,1485665,"3,382",22.7642167,2.40%
5/01/2020,1645753,"4,022",24.43866121,2.48%
12/01/2020,2592217,"4,623",17.83415509,1.93%
19/01/2020,2713484,"11,252",41.46698488,1.87%
26/01/2020,2796048,"8,838",31.60889942,1.91%
2/02/2020,2665233,"4,867",18.26106761,2.08%
9/02/2020,3028105,"5,348",17.66121056,2.02%
16/02/2020,3148807,"5,633",17.88931491,2.06%
23/02/2020,3381630,"4,508",13.33084932,2.07%
1/03/2020,3598452,"5,048",14.02825437,1.98%
8/03/2020,3564093,"5,753",16.14155411,1.95%
15/03/2020,3326680,"5,848",17.57908786,1.85%
22/03/2020,2407574,"5,671",23.55483154,1.78%
29/03/2020,1170920,"4,025",34.37467974,3.92%
5/04/2020,612470,"3,221",52.59033095,5.05%
12/04/2020,485093,"1,666",34.34392993,3.14%
19/04/2020,490588,"1,342",27.35492919,2.63%
26/04/2020,598280,"1,511",25.2557331,2.70%
3/05/2020,669231,"1,517",22.66780828,2.45%
10/05/2020,678781,"1,315",19.37296418,2.38%
17/05/2020,914101,"1,606",17.56917452,2.34%
24/05/2020,1005747,"1,522",15.13303047,2.23%
31/05/2020,1267880,"1,308",10.31643373,2.49%
7/06/2020,1395072,"2,376",17.03137903,2.48%
14/06/2020,1415922,"2,509",17.71990265,2.55%
21/06/2020,1524663,"2,375",15.5772128,2.50%
28/06/2020,1525783,"2,357",15.44780614,2.51%
5/07/2020,1416639,"2,205",15.56500986,2.38%
12/07/2020,1464575,"2,312",15.78614957,2.31%
19/07/2020,1830321,"2,676",14.62038626,2.37%
26/07/2020,1821680,"2,730",14.98616662,2.31%
2/08/2020,1840954,"2,666",14.48162203,2.29%
9/08/2020,1795333,"2,856",15.90791235,2.17%
16/08/2020,1689724,"2,343",13.86616986,2.21%
23/08/2020,1921270,"2,559",13.31931483,2.16%
30/08/2020,1827927,"2,397",13.11321513,2.12%
6/09/2020,1819619,"2,553",14.03040966,1.83%
13/09/2020,1881006,"2,554",13.57784079,2.15%
20/09/2020,1921831,"2,778",14.45496508,2.13%
27/09/2020,1714985,"2,476",14.43744406,2.22%
4/10/2020,1693099,"2,625",15.50411405,2.23%
11/10/2020,1808404,"2,203",12.18201243,2.30%
18/10/2020,2055633,"2,713",13.19788114,2.26%
25/10/2020,2035509,"3,040",14.93483939,2.34%
1/11/2020,2011042,"3,033",15.08173375,2.42%
8/11/2020,2032342,"3,128",15.39111035,2.41%
15/11/2020,2052266,"3,014",14.68620539,2.37%
22/11/2020,2076511,"2,891",13.92239194,2.36%
29/11/2020,2138100,"3,571",16.70174454,2.40%
6/12/2020,2054385,"3,844",18.71119581,2.26%
13/12/2020,1954514,"3,449",17.64633049,2.23%
20/12/2020,1870248,"3,027",16.18501931,2.22%
27/12/2020,1335390,"2,387",17.87492792,2.80%
3/01/2021,1052309,"1,822",17.31430597,2.77%
10/01/2021,1333992,"2,093",15.68974926,2.22%
17/01/2021,1374280,"2,086",15.17885729,2.17%
24/01/2021,1714602,"2,455",14.31819163,2.16%
31/01/2021,1729907,"2,484",14.35915341,2.36%
7/02/2021,2195187,"2,880",13.11961122,2.39%
14/02/2021,2231692,"3,415",15.30229082,2.32%
21/02/2021,2258323,"3,787",16.76908042,2.35%
28/02/2021,2339370,"3,436",14.68771507,2.35%
