id,name,Drought,pct_burned,Flood_storm_cyclone,Covid total cases,pct_Covid job losses,Disaster index
59499,No usual address,,,,,,
59799,Migratory - Offshore - Shipping,,,,,,
69499,No usual address,,,,,,
69799,Migratory - Offshore - Shipping,,,,,,
79499,No usual address,,,,,,
79799,Migratory - Offshore - Shipping,,,,,,
89499,No usual address,,,,,,
89799,Migratory - Offshore - Shipping,,,,,,
99499,No usual address,,,,,,
99799,Migratory - Offshore - Shipping,,,,,,
99399,Unincorp. Other Territories,,,,,,
