ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2021-04-28,AUS,GADM,AUS.10.66_1,Surf Coast,-3.5,14.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.67_1,Swan Hill,11.6,13.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.6_1,Baw Baw,2.6,13.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.70_1,Wangaratta,1.9,11.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.71_1,Warrnambool,-2.9,12.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.72_1,Wellington,-0.6,16.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.74_1,Whitehorse,-5.8,15.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.75_1,Whittlesea,-4.9,14.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.76_1,Wodonga,3.9,14.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.77_1,Wyndham,-3.0,14.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.78_1,Yarra,-7.9,12.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.79_1,Yarra Ranges,-7.9,14.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.7_1,Bayside,-5.6,12.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.10.9_1,Boroondara,-7.9,13.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.101_1,Perth,-18.3,21.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.104_1,Port Hedland,-1.9,10.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.107_1,Rockingham,-11.2,16.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.108_1,Roebourne,-1.5,12.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.111_1,Serpentine-Jarrahdale,-16.8,16.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.113_1,South Perth,-18.3,18.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.114_1,Stirling,-10.2,13.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.116_1,Swan,-9.1,16.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.122_1,Victoria Park,-9.1,17.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.124_1,Vincent,-19.4,15.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.127_1,Wanneroo,-9.9,15.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.13_1,Broome,4.5,13.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.16_1,Bunbury,-10.2,18.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.17_1,Busselton,-1.2,13.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.19_1,Canning,-7.6,16.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.1_1,Albany,-1.1,12.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.26_1,Cockburn,-14.5,15.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.2_1,Armadale,-11.6,17.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.3_1,Ashburton,-3.3,7.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.46_1,East Pilbara,-3.8,7.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.49_1,Fremantle,2.0,15.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.50_1,Geraldton-Greenough,10.3,14.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.54_1,Gosnells,-8.9,17.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.56_1,Harvey,-3.1,17.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.59_1,Joondalup,-15.5,16.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.60_1,Kalamunda,-9.2,18.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.61_1,Kalgoorlie/Boulder,-1.2,11.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.69_1,Kwinana,-12.9,14.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.6_1,Bayswater,-9.7,15.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.73_1,Mandurah,-9.9,18.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.76_1,Melville,-16.7,18.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.7_1,Belmont,-12.1,14.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.87_1,Mundaring,-19.3,17.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.11.89_1,Murray,7.3,16.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.2.1_1,Unincorporated Australian Capital Territory,-3.5,12.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.100_1,Newcastle,-1.1,13.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.101_1,North Sydney,-11.3,13.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.103_1,Orange,6.9,9.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.106_1,Parramatta,-4.8,14.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.107_1,Penrith,-2.7,14.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.108_1,Pittwater,-7.8,8.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.109_1,Port Macquarie-Hastings,4.0,14.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.110_1,Port Stephens,3.9,16.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.111_1,Queanbeyan,3.0,10.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.112_1,Randwick,-4.4,13.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.113_1,Richmond Valley,2.1,17.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.114_1,Rockdale,-5.1,13.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.115_1,Ryde,-4.5,13.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.116_1,Shellharbour,1.4,14.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.117_1,Shoalhaven,2.6,16.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.118_1,Singleton,-1.8,11.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.120_1,Strathfield,4.8,11.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.121_1,Sutherland,-13.3,13.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.122_1,Sydney,1.3,11.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.123_1,Tamworth Regional,3.1,13.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.126_1,The Hills,-5.5,14.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.129_1,Tweed,4.0,17.1,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.12_1,Blacktown,-2.0,14.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.135_1,Wagga Wagga,-3.6,9.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.140_1,Warringah,-7.2,11.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.142_1,Waverley,0.1,9.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.146_1,Willoughby,2.8,11.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.147_1,Wingecarribee,7.5,12.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.148_1,Wollondilly,0.4,11.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.149_1,Wollongong,-0.5,13.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.150_1,Woollahra,-3.3,12.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.151_1,Wyong,-4.6,14.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.15_1,Blue Mountains,-3.2,16.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.19_1,Botany Bay,-0.0,12.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.1_1,Albury,2.2,13.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.22_1,Broken Hill,13.6,14.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.23_1,Burwood,-3.0,10.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.24_1,Byron,1.5,14.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.26_1,Camden,1.6,11.9,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.27_1,Campbelltown,-5.2,15.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.28_1,Canada Bay,-4.5,14.2,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.29_1,Canterbury,-5.2,12.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.2_1,Armidale Dumaresq,18.8,12.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.32_1,Cessnock,-4.6,14.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.33_1,Clarence Valley,6.5,16.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.35_1,Coffs Harbour,3.5,14.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.3_1,Ashfield,-7.2,11.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.44_1,Dubbo,-1.1,12.4,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.46_1,Eurobodalla,-1.3,16.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.47_1,Fairfield,-4.1,14.5,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.4_1,Auburn,-2.4,11.7,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.52_1,Gosford,-4.8,14.0,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.53_1,Goulburn Mulwaree,-8.3,13.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.54_1,Great Lakes,14.2,19.3,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.56_1,Greater Taree,11.5,18.6,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.57_1,Griffith,0.6,10.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.5_1,Ballina,0.4,16.8,full_february,DAY_OF_WEEK
2021-04-28,AUS,GADM,AUS.5.63_1,Hawkesbury,3.6,13.5,full_february,DAY_OF_WEEK
